EQUIP_ID,YEAR,MAKE,MODEL,DESCRIPTION,DEPT,SALE_PRICE,SALE_DATE,SOLD_BY
33294,2003,CHEVROLET,ASTRO,MINIVAN K-9,SPD,4550.09,05/21/2013 12:00:01 AM,BIDADOO ONLINE AUCTION
53535,2005,CHEVROLET,ASTRO,CARGO MINIVAN,SDOT,4905.00,08/12/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
53873,2005,CHEVROLET,EXPRESS,PASSENGER VAN,DPR,9900.00,11/04/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
53874,2005,CHEVROLET,EXPRESS,CARGO VAN,DPR,5200.00,09/09/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
43415,2004,CHEVROLET,EXPRESS,CARGO VAN,DPR,11050.00,10/29/2015 12:00:01 AM,MURPHYS AUCTION
03015,2000,CHEVROLET,G3500,CARGO VAN - HVAC,FAS,6600.00,10/23/2014 12:00:01 AM,MURPHYS AUCTION
61731,2006,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,3217.00,01/05/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
41711,2004,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,2550.00,02/01/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
34550,2003,CHEVROLET,S10,COMPACT PICKUP,SPU,3355.00,02/11/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
7019,1991,YALE,FORKLIFT,FORKLIFT,CEN,5101.00,08/20/2013 12:00:01 AM,BIDADOO ONLINE AUCTION
80393,1993,BUTLER,TRAILER,TRAILER,SFD,2800.00,10/23/2014 12:00:01 AM,MURPHYS AUCTION
53127,2005,DODGE,CARAVAN,MINIVAN PASSENGER,FAS,4651.00,02/25/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
53155,2005,DODGE,CARAVAN,PASSENGER MINIVAN,SPD,4001.00,09/09/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
