Restriction Type,Parking Spaces,Times Of Operation,Maximum Stay,Tariff,Cashless Identifier,Nearest Machine,Road Name,Postcode,Controlled Parking Zone,Valid Parking Permits,Parking Bay Length Metres,Disclaimer,Easting,Northing,EPSG:27700 Well Known Text Geometry,EPSG:4326 Well Known Text Geometry,Unique Identifier,Spatial Accuracy,Last Uploaded,Socrata ID
disabled (blue badge),1,at any time,N/A,N/A,N/A,N/A,Clorane Gardens,NW3 7PR,CA-S,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525208,186046,"LINESTRING (525209.778213382 186043.784775802,525210.841826264 186045.344329384,525206.109161192 186048.653382178,525205.070283493 186047.083831457)","LINESTRING (-0.195199245658889 51.5593966532069,-0.195183355909945 51.5594104329028,-0.195250413081539 51.5594412205521,-0.195265949752038 51.5594273455188)",46034948,Defined By Custodian,4/9/17 23:31,1
paid-for,4,mon-sat 09:00-18:00,4 hours,å£2.75 p/h,13784,H112,Church Row,NW3 6UU,CA-H,N/A,20,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526096,185608,"LINESTRING (526107.286094481 185607.889549512,526107.038742648 185609.928965735,526106.816125998 185609.908971459,526086.450825079 185607.629623915,526086.318904101 185607.619626777,526086.492050384 185606.090064609)","LINESTRING (-0.182415448062492 51.5552795864314,-0.182418283380916 51.555297969596,-0.182421499863338 51.5552978396243,-0.182715909638146 51.5552819029998,-0.182717815037651 51.5552818426123,-0.18271586675399 51.5552680580048)",46034957,Defined By Custodian,4/9/17 23:31,10
resident permit holders only,2,mon-sat 09:00-19:00,N/A,N/A,N/A,N/A,Frognal Lane,NW3 7DU,CA-H,CA-H,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525827,185410,"LINESTRING (525833.566556047 185410.276115769,525832.91519622 185412.225557747,525821.677177939 185407.886799704,525822.493438988 185405.987343418)","LINESTRING (-0.18643212545711 51.5535647199073,-0.186440818582109 51.5535823844277,-0.186604374699369 51.5535458964708,-0.186593286465749 51.5535286444372)",46035047,Defined By Custodian,4/9/17 23:31,100
resident permit holders only,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Fitzroy Street,W1T 5BU,CA-E,CA-E,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529095,182217,"LINESTRING (529095.741470819 182220.339225706,529094.059478355 182219.209549072,529096.772103457 182215.150710903,529098.503566288 182216.250396121)","LINESTRING (-0.140574861016532 51.5241615460403,-0.140599505640004 51.5241517780863,-0.140561912927137 51.524114683128,-0.140536566616967 51.5241241702536)",46035985,Defined By Custodian,4/9/17 23:31,1000
loading,1,at any time,N/A,N/A,N/A,N/A,Russell Square,WC1B 5EG,CA-E,N/A,13,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530098,182084,"LINESTRING (530091.662401221 182083.738327306,530093.509294908 182081.448982624,530103.271447252 182088.167059595,530101.630680092 182090.31644434)","LINESTRING (-0.126277929758586 51.5227056616852,-0.126252168620838 51.5226846632323,-0.126109060705667 51.5227427895174,-0.126131904059454 51.5227624827997)",46035986,Defined By Custodian,4/9/17 23:31,1001
solo motorcycles,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Russell Square,WC1B 5EG,CA-E,N/A,8,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530089,182079,"LINESTRING (530084.596383858 182078.259895491,530085.725957228 182076.770321877,530093.064061608 182081.908850988,530091.786077138 182083.478401709)","LINESTRING (-0.126381740705756 51.522658055039,-0.126366017966609 51.5226444088995,-0.126258412839207 51.5226888983465,-0.126276244010883 51.5227032973746)",46035987,Defined By Custodian,4/9/17 23:31,1002
bus cage,1,at any time,N/A,N/A,N/A,N/A,Russell Square,WC1B 5DR,CA-E,N/A,24,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530029,182035,"LINESTRING (530018.438013582 182032.203079117,530020.606464652 182029.333900411,530037.690231253 182041.500417782,530035.727906711 182044.409585041)","LINESTRING (-0.127351770446633 51.5222593788517,-0.127321590631751 51.5222330959296,-0.127071005244357 51.5223385026116,-0.127098200881514 51.5223650975481)",46035988,Defined By Custodian,4/9/17 23:31,1003
taxi rank,,at any time,N/A,N/A,N/A,N/A,Russell Square,WC1B 5EA,CA-E,N/A,54,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530021,182020,"LINESTRING (529999.746460066 182003.371332119,529998.336554618 182005.260791267,530043.783331407 182035.88202603,530044.912904778 182034.282483894)","LINESTRING (-0.127631658343257 51.5220045771117,-0.127651272151233 51.5220218811649,-0.126985302772021 51.5222866107428,-0.126969620523672 51.5222719764375)",46035989,Defined By Custodian,4/9/17 23:31,1004
paid-for,17,mon-sat 08:30-18:30,2 hours,å£4.65 p/h,13855,E101,Russell Square,WC1B 5DP,CA-E,N/A,92,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530020,181941,"LINESTRING (529992.58974703 181978.548437599,529991.080900849 181977.38876955,530049.596099483 181906.329110166,530051.418257987 181908.008629409)","LINESTRING (-0.127743902576209 51.5217831486607,-0.127766065404268 51.5217730740819,-0.12694933680531 51.5211210307376,-0.126922469142816 51.5211357048005)",46035990,Defined By Custodian,4/9/17 23:31,1005
solo motorcycles,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Russell Square,WC1B 5DP,CA-E,N/A,18,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529990,181965,"LINESTRING (529994.675747489 181957.034595872,529996.563866481 181958.644135146,529984.888859962 181972.800083048,529983.215112558 181971.440472233)","LINESTRING (-0.127721782450282 51.5215893322057,-0.127693990366407 51.521603362394,-0.127856954877514 51.5217332609439,-0.127881566795961 51.5217214274449)",46035991,Defined By Custodian,4/9/17 23:31,1006
